ID,mask,task,hemisphere,beta
CBC_1001,MSTACT_uniform,AV,wholeBrain,2.19310873975008
CBC_1002,MSTACT_uniform,AV,wholeBrain,2.95386281017997
CBC_1003,MSTACT_uniform,AV,wholeBrain,1.46388136431527
CBC_1005,MSTACT_uniform,AV,wholeBrain,2.63341042611221
CBC_1006,MSTACT_uniform,AV,wholeBrain,0.837187073950396
CBC_1007,MSTACT_uniform,AV,wholeBrain,3.01203871266636
CBC_1010,MSTACT_uniform,AV,wholeBrain,2.48392219726505
CBC_1011,MSTACT_uniform,AV,wholeBrain,0.275505154356332
CBC_1013,MSTACT_uniform,AV,wholeBrain,2.25310393112649
CBC_1014,MSTACT_uniform,AV,wholeBrain,2.64052459386307
CBC_1015,MSTACT_uniform,AV,wholeBrain,3.91389804733029
CBC_1016,MSTACT_uniform,AV,wholeBrain,3.44623545270746
CBC_1017,MSTACT_uniform,AV,wholeBrain,2.612750669844
CBC_1018,MSTACT_uniform,AV,wholeBrain,3.22463156521724
CBC_1019,MSTACT_uniform,AV,wholeBrain,4.62693961808156
CBC_1020,MSTACT_uniform,AV,wholeBrain,1.2732984444527
CBC_1021,MSTACT_uniform,AV,wholeBrain,2.66868974813718
CBC_1022,MSTACT_uniform,AV,wholeBrain,1.19776908435315
CBC_1024,MSTACT_uniform,AV,wholeBrain,2.47071875244375
CBC_1026,MSTACT_uniform,AV,wholeBrain,1.7971939715673
CBC_1027,MSTACT_uniform,AV,wholeBrain,3.67415294554938
CBC_1028,MSTACT_uniform,AV,wholeBrain,1.82357279419165
CBC_1029,MSTACT_uniform,AV,wholeBrain,2.85962199733797
CBC_1030,MSTACT_uniform,AV,wholeBrain,1.15633443048898
CBC_1031,MSTACT_uniform,AV,wholeBrain,1.4268730406295
CBC_1033,MSTACT_uniform,AV,wholeBrain,2.41657153405625
CBC_1034,MSTACT_uniform,AV,wholeBrain,1.44766562423107
CBC_1035,MSTACT_uniform,AV,wholeBrain,1.58921595598366
CBC_1036,MSTACT_uniform,AV,wholeBrain,1.72782491527925
CBC_1037,MSTACT_uniform,AV,wholeBrain,0.936532510280886
CBC_1038,MSTACT_uniform,AV,wholeBrain,1.22407386773784
CBC_1040,MSTACT_uniform,AV,wholeBrain,1.73313251475513
CBC_1041,MSTACT_uniform,AV,wholeBrain,1.03111060577875
CBC_1042,MSTACT_uniform,AV,wholeBrain,1.5634368257814
CBC_1044,MSTACT_uniform,AV,wholeBrain,1.49376892045653
CBC_1045,MSTACT_uniform,AV,wholeBrain,1.16841198189611
CBC_1048,MSTACT_uniform,AV,wholeBrain,1.79629641200076
CBC_1051,MSTACT_uniform,AV,wholeBrain,5.02648210386816
CBC_1054,MSTACT_uniform,AV,wholeBrain,0.262064109278318
CBC_1058,MSTACT_uniform,AV,wholeBrain,1.94879907934491
CBC_1059,MSTACT_uniform,AV,wholeBrain,1.48427825062175
CBC_1064,MSTACT_uniform,AV,wholeBrain,3.37640017531195
CBC_1071,MSTACT_uniform,AV,wholeBrain,0.626325810741962
CBC_1072,MSTACT_uniform,AV,wholeBrain,0.396650684783487
CBC_1075,MSTACT_uniform,AV,wholeBrain,0.792137589233687
CBC_1076,MSTACT_uniform,AV,wholeBrain,-0.312287566954622
CBC_1087,MSTACT_uniform,AV,wholeBrain,2.52925971887766
CBC_1090,MSTACT_uniform,AV,wholeBrain,1.87465631548197
CBC_1093,MSTACT_uniform,AV,wholeBrain,1.00232507931029
CBC_1102,MSTACT_uniform,AV,wholeBrain,0.627817383745605
CBC_1108,MSTACT_uniform,AV,wholeBrain,1.2840172470984
CBC_1109,MSTACT_uniform,AV,wholeBrain,0.473089248469157
CBC_1110,MSTACT_uniform,AV,wholeBrain,0.609680446739602
CBC_1111,MSTACT_uniform,AV,wholeBrain,1.34812077433211
CBC_1112,MSTACT_uniform,AV,wholeBrain,2.81334091790291
CBC_1114,MSTACT_uniform,AV,wholeBrain,0.940297928283125
CBC_1115,MSTACT_uniform,AV,wholeBrain,2.91978831477569
CBC_1117,MSTACT_uniform,AV,wholeBrain,1.92543051143449
CBC_1119,MSTACT_uniform,AV,wholeBrain,3.77945868969151
CBC_1122,MSTACT_uniform,AV,wholeBrain,-0.0725875972236565
CBC_1127,MSTACT_uniform,AV,wholeBrain,1.50603333214519
CBC_1129,MSTACT_uniform,AV,wholeBrain,0.781963357576003
CBC_1136,MSTACT_uniform,AV,wholeBrain,2.76584868032898
CBC_1138,MSTACT_uniform,AV,wholeBrain,1.5753247873525
CBC_1139,MSTACT_uniform,AV,wholeBrain,0.887002264819053
CBC_1143,MSTACT_uniform,AV,wholeBrain,1.99400445411724
CBC_1146,MSTACT_uniform,AV,wholeBrain,2.48564670575903
CBC_1001,MSTACT_uniform,TV,wholeBrain,2.30354461888139
CBC_1002,MSTACT_uniform,TV,wholeBrain,2.33972303797663
CBC_1003,MSTACT_uniform,TV,wholeBrain,-0.221458363444611
CBC_1005,MSTACT_uniform,TV,wholeBrain,1.16186441848312
CBC_1006,MSTACT_uniform,TV,wholeBrain,1.85386864557761
CBC_1007,MSTACT_uniform,TV,wholeBrain,1.27239398058967
CBC_1010,MSTACT_uniform,TV,wholeBrain,1.74637757991102
CBC_1011,MSTACT_uniform,TV,wholeBrain,1.14855770691927
CBC_1013,MSTACT_uniform,TV,wholeBrain,2.18951258137505
CBC_1014,MSTACT_uniform,TV,wholeBrain,2.29373249643018
CBC_1015,MSTACT_uniform,TV,wholeBrain,2.01102197544682
CBC_1016,MSTACT_uniform,TV,wholeBrain,3.99553542315447
CBC_1017,MSTACT_uniform,TV,wholeBrain,2.2941411461443
CBC_1018,MSTACT_uniform,TV,wholeBrain,1.69562195572554
CBC_1019,MSTACT_uniform,TV,wholeBrain,2.01315132958726
CBC_1020,MSTACT_uniform,TV,wholeBrain,1.59495258984024
CBC_1021,MSTACT_uniform,TV,wholeBrain,1.55966521895609
CBC_1022,MSTACT_uniform,TV,wholeBrain,1.88263661336092
CBC_1024,MSTACT_uniform,TV,wholeBrain,1.01538482541403
CBC_1026,MSTACT_uniform,TV,wholeBrain,0.205938983416123
CBC_1027,MSTACT_uniform,TV,wholeBrain,0.383264089013717
CBC_1028,MSTACT_uniform,TV,wholeBrain,1.22466496032606
CBC_1029,MSTACT_uniform,TV,wholeBrain,0.956383187498255
CBC_1030,MSTACT_uniform,TV,wholeBrain,1.53161440298772
CBC_1031,MSTACT_uniform,TV,wholeBrain,-0.526359931679609
CBC_1033,MSTACT_uniform,TV,wholeBrain,0.417067536606223
CBC_1034,MSTACT_uniform,TV,wholeBrain,1.06106794133452
CBC_1035,MSTACT_uniform,TV,wholeBrain,0.745443306100766
CBC_1036,MSTACT_uniform,TV,wholeBrain,2.27805122614044
CBC_1037,MSTACT_uniform,TV,wholeBrain,1.49034653024738
CBC_1038,MSTACT_uniform,TV,wholeBrain,0.723958288532047
CBC_1040,MSTACT_uniform,TV,wholeBrain,0.727018911959931
CBC_1041,MSTACT_uniform,TV,wholeBrain,0.591899062926985
CBC_1042,MSTACT_uniform,TV,wholeBrain,2.34104952769005
CBC_1044,MSTACT_uniform,TV,wholeBrain,1.13739475074498
CBC_1045,MSTACT_uniform,TV,wholeBrain,1.0706308071956
CBC_1048,MSTACT_uniform,TV,wholeBrain,0.9633590353185
CBC_1051,MSTACT_uniform,TV,wholeBrain,1.71923388541018
CBC_1054,MSTACT_uniform,TV,wholeBrain,0.458895885351242
CBC_1058,MSTACT_uniform,TV,wholeBrain,0.798818932100453
CBC_1059,MSTACT_uniform,TV,wholeBrain,1.04406840294304
CBC_1064,MSTACT_uniform,TV,wholeBrain,1.92486569734937
CBC_1071,MSTACT_uniform,TV,wholeBrain,0.29442505778011
CBC_1072,MSTACT_uniform,TV,wholeBrain,-0.132557979084044
CBC_1075,MSTACT_uniform,TV,wholeBrain,0.455435803632537
CBC_1076,MSTACT_uniform,TV,wholeBrain,0.659766958056108
CBC_1087,MSTACT_uniform,TV,wholeBrain,1.14563272688594
CBC_1090,MSTACT_uniform,TV,wholeBrain,1.85864022451035
CBC_1093,MSTACT_uniform,TV,wholeBrain,1.07533399649259
CBC_1102,MSTACT_uniform,TV,wholeBrain,1.07876286650803
CBC_1108,MSTACT_uniform,TV,wholeBrain,2.61489596780401
CBC_1109,MSTACT_uniform,TV,wholeBrain,0.701572920299768
CBC_1110,MSTACT_uniform,TV,wholeBrain,0.700367601898042
CBC_1111,MSTACT_uniform,TV,wholeBrain,1.09089419332948
CBC_1112,MSTACT_uniform,TV,wholeBrain,1.19307252395856
CBC_1114,MSTACT_uniform,TV,wholeBrain,1.25306400944929
CBC_1115,MSTACT_uniform,TV,wholeBrain,1.62491752377639
CBC_1117,MSTACT_uniform,TV,wholeBrain,1.83278276801011
CBC_1119,MSTACT_uniform,TV,wholeBrain,3.48342831365836
CBC_1122,MSTACT_uniform,TV,wholeBrain,-0.106652270993363
CBC_1127,MSTACT_uniform,TV,wholeBrain,1.20192001835554
CBC_1129,MSTACT_uniform,TV,wholeBrain,0.363593414064196
CBC_1136,MSTACT_uniform,TV,wholeBrain,0.944028329591098
CBC_1138,MSTACT_uniform,TV,wholeBrain,1.31372429032485
CBC_1139,MSTACT_uniform,TV,wholeBrain,-0.120519118452934
CBC_1143,MSTACT_uniform,TV,wholeBrain,0.374073986798975
CBC_1146,MSTACT_uniform,TV,wholeBrain,0.485360098096025
